key	comment	fr	en	es	ab	zh	ru	hy	bg	pt	cs	de	et	fa	fi	he	it	ja	ko	hu	nl	pl	ro	sr	sk	sl	sv	uk
n_rows_to_skip	Google translate used except for 'fr' and 'en'	Nombre de lignes à ignorer	Number of rows to skip	Número de filas a omitir	عدد الصفوف المطلوب تخطيها	要跳过的行数	Количество строк, которые нужно пропустить	Բաց թողնելու համար նախատեսված տողերի քանակը	Брой редове за пропускане	Número de linhas a serem ignoradas	Počet řádků k přeskočení	Anzahl der zu überspringenden Zeilen	Vahelejäetavate ridade arv	تعداد ردیف هایی که باید رد شوند	Ohitettavien rivien määrä	מספר שורות לדילוג	Numero di righe da saltare	スキップする行数	건너뛸 행 수	Az átugorandó sorok száma	Aantal rijen dat moet worden overgeslagen	Liczba wierszy do pominięcia	Numărul de rânduri de sărit	Број редова које треба прескочити	Počet riadkov na preskočenie	Število vrstic za preskok	Antal rader att hoppa över	Кількість рядків, які потрібно пропустити
missing_value_code	Google translate used except for 'fr' and 'en'	Code de valeur manquante	Missing value code	Código de valor faltante	رمز القيمة مفقود	缺失值代码	Отсутствует код значения	Արժեքի կոդը բացակայում է	Липсващ код на стойност	Código de valor ausente	Chybí kód hodnoty	Fehlender Wertcode	Väärtuskood puudub	کد مقدار موجود نیست	Arvokoodi puuttuu	חסר קוד ערך	Codice valore mancante	欠損値コード	누락된 값 코드	Hiányzó értékkód	Ontbrekende waardecode	Brakujący kod wartości	Codul valorii lipsă	Недостаје код вредности	Chýba kód hodnoty	Manjkajoča koda vrednosti	Värdekod saknas	Відсутній код значення
data_preview	Google translate used except for 'fr' and 'en'	Apercu des données	Data preview	Vista previa de datos	معاينة البيانات	数据预览	Предварительный просмотр данных	Տվյալների նախադիտում	Визуализация на данните	Visualização de dados	Náhled dat	Datenvorschau	Andmete eelvaade	پیش نمایش داده ها	Tietojen esikatselu	תצוגה מקדימה של נתונים	Anteprima dei dati	データのプレビュー	데이터 미리보기	Adatok előnézete	Gegevensvoorbeeld	Podgląd danych	Previzualizarea datelor	Преглед података	Ukážka údajov	Predogled podatkov	Förhandsgranskning av data	Попередній перегляд даних
n_rows_to_preload	Google translate used except for 'fr' and 'en'	Nombre de lignes à pré-charger (>10)	Number of rows to preload (>10)	Número de filas para precargar (>10)	عدد الصفوف المراد تحميلها مسبقًا (> 10)	要预加载的行数 (>10)	Количество строк для предварительной загрузки (>10)	Նախապես բեռնվող տողերի քանակը (>10)	Брой редове за предварително зареждане (>10)	Número de linhas para pré-carregar (>10)	Počet řádků k předběžnému načtení (>10)	Anzahl der vorab zu ladenden Zeilen (>10)	Eellaaditavate ridade arv (>10)	تعداد ردیف‌هایی که باید از قبل بارگیری شوند (> 10)	Esiladattavien rivien määrä (>10)	מספר שורות לטעינה מראש (>10)	Numero di righe da precaricare (>10)	プリロードする行数 (>10)	미리 로드할 행 수(>10)	Előre betöltendő sorok száma (>10)	Aantal rijen dat vooraf moet worden geladen (>10)	Liczba wierszy do wstępnego załadowania (>10)	Numărul de rânduri de preîncărcat (>10)	Број редова за претходно учитавање (>10)	Počet riadkov na predbežné načítanie (>10)	Število vrstic za prednalaganje (>10)	Antal rader att förinläsa (>10)	Кількість рядів для попереднього завантаження (>10)
sep_tab	Google translate used except for 'fr' and 'en'	Tabulation (\\t)	Tabulation (\\t)	Tabulación (\\t)	الجدولة (\\t)	制表 (\\t)	Табуляция (\\t)	Աղյուսակավորում (\\t)	Табулиране (\\t)	Tabulação (\\t)	Tabulka (\\t)	Tabellierung (\\t)	Tabel (\\ t)	جدول بندی (\\t)	Taulukko (\\t)	טבלה (\\t)	Tabulazione (\\t)	集計 (\\t)	도표화(\\t)	Táblázat (\\t)	Tabellering (\\t)	Tabulacja (\\t)	Tabelare (\\t)	Табела (\\t)	Tabuľka (\\t)	Razpredelnica (\\t)	Tabulering (\\t)	Табулювання (\\t)
sep_semicolon	Google translate used except for 'fr' and 'en'	Point virgule (;)	Semi-colon (;)	Punto y coma (;)	فاصلة منقوطة (؛)	分号 (;)	Точка с запятой (;)	Կիսակետ (;)	Точка и запетая (;)	Ponto e vírgula (;)	Středník (;)	Semikolon (;)	Semikoolon (;)	نیم دونقطه (;)	Puolipiste (;)	נקודה חצי (;)	Punto e virgola (;)	セミコロン(;)	세미콜론(;)	Pontosvessző (;)	Puntkomma (;)	Średnik (;)	punct și virgulă (;)	Тацка зарез (;)	Bodkočiarka (;)	Podpičje (;)	Semikolon (;)	Крапка з комою (;)
sep_comma	Google translate used except for 'fr' and 'en'	Virgule (,)	Comma (,)	Coma (,)	فاصلة (،)	逗号 (,)	Запятая (,)	Ստորակետ (,)	запетая (,)	Vírgula (,)	Čárka (,)	Komma (,)	Koma (,)	کاما (،)	Pilkku (,)	פסיק (,)	Virgola (,)	コンマ （、）	반점 (,)	Vessző (,)	Komma (,)	Przecinek (,)	virgulă (,)	Зарез (,)	čiarka (,)	Vejica (,)	Kommatecken (,)	Кома (,)
sep_space	Google translate used except for 'fr' and 'en'	Espace ( )	Space ( )	Espacio ( )	فضاء ( )	空间 （ ）	Космос ( )	Տիեզերք ( )	интервал ( )	Espaço ( )	Prostor ( )	Raum ( )	Ruum ( )	فضا ( )	Välilyönti ( )	רווח ( )	Spazio ( )	空間 （ ）	공간 ( )	Hely ( )	Ruimte ( )	Przestrzeń ( )	Spațiu ( )	размак ( )	Medzerník ( )	presledek ( )	Plats ( )	Пробіл ( )
columns_selection	Google translate used except for 'fr' and 'en'	Sélection des colonnes	Columns selection	Selección de columnas	اختيار الأعمدة	列选择	Выбор столбцов	Սյունակների ընտրություն	Избор на колони	Seleção de colunas	Výběr sloupců	Auswahl der Spalten	Veergude valik	انتخاب ستون ها	Sarakkeiden valinta	בחירת עמודות	Selezione delle colonne	列の選択	열 선택	Oszlopok kiválasztása	Kolommen selectie	Wybór kolumn	Selectarea coloanelor	Избор колона	Výber stĺpcov	Izbira stolpcev	Val av kolumner	Вибір колонок
linear_y_axis	Google translate used except for 'fr' and 'en'	Axe Y linéair	Linear Y axis	Eje Y lineal	المحور Y الخطي	直线Y轴	Линейная ось Y	Գծային Y առանցք	Линейна ос Y	Eixo Y linear	Lineární osa Y	Lineare Y-Achse	Lineaarne Y-telg	محور Y خطی	Lineaarinen Y-akseli	ציר Y ליניארי	Asse Y lineare	直線Y軸	선형 Y축	Lineáris Y tengely	Lineaire Y-as	Liniowa oś Y	Axa Y liniară	Линеарна И оса	Lineárna os Y	Linearna os Y	Linjär Y-axel	Лінійна вісь Y
log_y_axis		Axe Y log	Log Y axis	Aplicar una escala logarítmica al eje Y	تطبيق المقياس اللوغاريتمي على المحور ص	将纵坐标轴设置成对数坐标轴	Применить логарифмический масштаб на оси y	Կիրառել լոգարիթմական սանդղակը y առանցքի վրա	Приложи логаритмична скала на ос Y	Aplicar uma escala logarítmica ao eixo y	Použijte logaritmickou stupnici na ose y	Wenden Sie eine logarithmische Skala auf der Y-Achse an	Logaritmilise skaala rakendamine y-teljel.	اعمال مقیاس لگاریتمی روی محور Y	Sovelletaan logaritmista asteikkoa y-akseliin.	החל סולם לוגריתמי על ציר ה-y	Applica una scala logaritmica all'asse y	Y軸にlogをとる	y축에 로그 스케일 적용	Logaritmikus skála alkalmazása az y-tengelyen	Pas logaritmische schaal toe op de y-as	Zastosuj skalę logarytmiczną na osi y	Aplicați o scară logaritmică pe axa y	Примените логаритамску скалу на и-осу	Použiť logaritmickú stupnicu na osi y	Uporabi logaritemsko skalo na osi y	Tillämpa logaritmisk skala på y-axeln.	Застосувати логарифмічний масштаб по осі Y
window_plot		Tracer la figure dans une fenêtre exterieure	Draw plot in external window	Gráfico en ventana externa	مؤامرة في نافذة خارجية	另外开启窗口并出图	Показать график в отдельном окне	Հողամաս արտաքին պատուհանում	Изчертай във външен прозорец	Gráfico em janela externa	Graf ve vnějším okně	Abbildung im externen Fenster	Plot in external window	پلات در پنجره خارجی	Plottaa ulkoiseen ikkunaan	רשום בחלון חיצוני	Disegna il grafico in una finestra esterna	外部ウィンドウにプロット	외부 창에서 플롯	Ábra megjelenítése új ablakban	Plot in external window	Wykres w zewnętrznym oknie	Afișare grafic în fereastră nouă	Парцела у спољном прозору	Zobrazenie grafu v okne	Natisni znotraj okna	Plot in external window	Plot in external window
to_svg	Google translate used except for 'fr' and 'en'	Exporter au format vectoriel SVG	Export to SVG vector format	Exportar a formato vectorial SVG	تصدير إلى تنسيق SVG المتجه	导出为 SVG 矢量格式	Экспорт в векторный формат SVG.	Արտահանել SVG վեկտորային ձևաչափով	Експортиране във векторен формат SVG	Exportar para formato vetorial SVG	Export do vektorového formátu SVG	Export in das SVG-Vektorformat	Ekspordi SVG vektorvormingusse	صادرات به فرمت برداری SVG	Vie SVG-vektorimuotoon	ייצוא לפורמט וקטור SVG	Esporta in formato vettoriale SVG	SVG ベクター形式にエクスポート	SVG 벡터 형식으로 내보내기	Exportálás SVG vektorformátumba	Exporteren naar SVG-vectorformaat	Eksportuj do formatu wektorowego SVG	Exportați în format vectorial SVG	Извези у СВГ векторски формат	Export do vektorového formátu SVG	Izvoz v vektorski format SVG	Exportera till SVG vektorformat	Експорт у векторний формат SVG
to_png	Google translate used except for 'fr' and 'en'	Exporter au format image PNG	Export to PNG image format	Exportar a formato de imagen PNG	تصدير إلى تنسيق الصورة PNG	导出为 PNG 图像格式	Экспорт в формат изображения PNG	Արտահանել PNG պատկերի ձևաչափով	Експортирайте в PNG формат на изображението	Exportar para formato de imagem PNG	Export do formátu obrázku PNG	Export in das PNG-Bildformat	Ekspordi PNG-pildivormingusse	صادرات به فرمت تصویر PNG	Vie PNG-kuvamuotoon	ייצוא לפורמט תמונה PNG	Esporta nel formato immagine PNG	PNG画像形式にエクスポート	PNG 이미지 형식으로 내보내기	Exportálás PNG képformátumba	Exporteren naar PNG-afbeeldingsformaat	Eksportuj do formatu obrazu PNG	Exportați în format de imagine PNG	Извезите у ПНГ формат слике	Export do formátu obrázka PNG	Izvozi v format slike PNG	Exportera till PNG-bildformat	Експортувати зображення у формат PNG
to_csv	Google translate used except for 'fr' and 'en'	Exporter au format text CSV	Export to CSV text file	Exportar a archivo de texto CSV	تصدير إلى ملف نصي CSV	导出到 CSV 文本文件	Экспорт в текстовый файл CSV	Արտահանել CSV տեքստային ֆայլ	Експортиране в CSV текстов файл	Exportar para arquivo de texto CSV	Export do textového souboru CSV	Export in eine CSV-Textdatei	Ekspordi CSV-tekstifaili	صادرات به فایل متنی CSV	Vie CSV-tekstitiedostoon	ייצוא לקובץ טקסט CSV	Esporta in un file di testo CSV	CSVテキストファイルにエクスポート	CSV 텍스트 파일로 내보내기	Exportálás CSV szövegfájlba	Exporteren naar CSV-tekstbestand	Eksportuj do pliku tekstowego CSV	Exportați în fișierul text CSV	Извези у ЦСВ текстуалну датотеку	Exportovať do textového súboru CSV	Izvoz v besedilno datoteko CSV	Exportera till CSV-textfil	Експорт у текстовий файл CSV
to_clipboard	Google translate used except for 'fr' and 'en'	Copier dans le presse-papier	Copy into clipboard	Copiar al portapapeles	نسخ إلى الحافظة	复制到剪贴板	Скопировать в буфер обмена	Պատճենել clipboard-ում	Копирайте в клипборда	Copiar para a área de transferência	Zkopírujte do schránky	In die Zwischenablage kopieren	Kopeeri lõikepuhvrisse	در کلیپ بورد کپی کنید	Kopioi leikepöydälle	העתק ללוח	Copia negli appunti	クリップボードにコピーする	클립보드에 복사	Másolás a vágólapra	Kopieer naar klembord	Skopiuj do schowka	Copiați în clipboard	Копирајте у међуспремник	Skopírujte do schránky	Kopiraj v odložišče	Kopiera till urklipp	Копіювати в буфер обміну
svg_format	Google translate used except for 'fr' and 'en'	Image vectorielle, Scalable Vector Graphics	Vector image, Scalable Vector Graphics	Imagen vectorial, gráficos vectoriales escalables	صورة متجهة، رسومات متجهة قابلة للتطوير	矢量图像，可缩放矢量图形	Векторное изображение, Масштабируемая векторная графика	Վեկտորային պատկեր, ընդլայնելի վեկտորային գրաֆիկա	Векторно изображение, мащабируема векторна графика	Imagem vetorial, gráficos vetoriais escaláveis	Vektorový obrázek, škálovatelná vektorová grafika	Vektorbild, skalierbare Vektorgrafiken	Vektorpilt, skaleeritav vektorgraafika	تصویر برداری، گرافیک برداری مقیاس پذیر	Vektorikuva, skaalautuva vektorigrafiikka	תמונה וקטורית, גרפיקה וקטורית ניתנת להרחבה	Immagine vettoriale, grafica vettoriale scalabile	ベクター画像、スケーラブルなベクター グラフィックス	벡터 이미지, 확장 가능한 벡터 그래픽	Vektoros kép, méretezhető vektorgrafika	Vectorafbeelding, schaalbare vectorafbeeldingen	Grafika wektorowa, skalowalna grafika wektorowa	Imagine vectorială, grafică vectorială scalabilă	Векторска слика, скалабилна векторска графика	Vektorový obrázok, škálovateľná vektorová grafika	Vektorska slika, razširljiva vektorska grafika	Vektorbild, skalbar vektorgrafik	Векторне зображення, масштабована векторна графіка
